id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
586,circular,4,2019,2019-01-14,Circular N° 4 del 14 de Enero del 2019,4,11440,pdfs/circular/2019/circular_2019_0004.pdf,"DEPARTAMENTO EMISOR 
OFICINA DE GESTIÓN NORMATIVA 
 
 
CIRCULAR N°4.- 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 14 DE ENERO 2019 
 
TABLAS DE IMPUESTO ÚNICO DE SEGUNDA 
CATEGORÍA PARA EL MES DE FEBRERO DE 
2019, 
E 
INFORMACIÓN 
ADICIONAL 
RELACIONADA CON DICHO TRIBUTO. 
REFERENCIA: 
 
N° "
937,circular,38,2025,2025-04-30,Circular N° 38 del 30 de Abril del 2025,11,49237,pdfs/circular/2025/circular_2025_0038.pdf,"DEPARTAMENTO EMISOR 
Subdirección de Asistencia al Contribuyente 
Departamento de Ciclo de Vida Subdirección 
Jurídica 
Departamento de Asesoría Jurídica 
CIRCULAR N°38.- 
GE 320525 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 30 DE ABRIL DE 2025. 
MATERIA: Imparte instrucciones sobre la obtenci"
3,circular,8,2026,2026-02-12,Circular N° 8 del 12 de Febrero del 2026,1,2930,pdfs/circular/2026/circular_2026_0008.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°08.- 
365096.2026 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 12 DE FEBRERO DE 2026 
MATERIA: Operaciones de crédito de dinero. Valor de 
la Unidad de Fomento para los días comprendidos 
entre el 10 de feb"
