id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
9336,circular,29,2010,2010-02-27,Circular Nº 29 del 15 de Abril del 2010,3,7829,pdfs/circular/2010/circular_historica_2010_circu29_html.pdf,"Circular Nº 29 del 15 de Abril del 2010

MATERIA: Norma aplicación de rebajas al avalúo fiscal de bienes raíces destruidos o dañados gravemente por sismo y/o posterior maremoto del 27 de febrero de 2010.

INTRODUCCIÓN
La
Ley Nº 17.235, sobre Impuesto Territorial, en su artículo 10, letra e), permite"
9039,judicial,3-2025,2025,2025-06-19,ROL 3-2025 - HIPÓDROMO DE ARICA SOCIEDAD ANÓNIMA con SII,15,52941,pdfs/judicial/2025/judicial_2025_ROL_3-2025_id22144.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 22144
Tipo Codigo: ROL
Codigo/Rol: 3-2025
Fecha: 2025-06-19
Instancia: Corte de Apelaciones de Arica
Tipo de pronunciamiento: Sentencia
Partes: HIPÓDROMO DE ARICA SOCIEDAD ANÓNIMA con SII
RUC: 24-9-0000753-0
Resultado: Sin dato
Decision: Sin dato
Fuente SII: http"
1744,resolucion,114,2021,2021-01-01,SUBDIRECCIÓN DE ASISTENCIA AL,1,2897,pdfs/resolucion/2021/resolucion_2021_0114.pdf,"SUBDIRECCIÓN DE ASISTENCIA AL 
 CONTRIBUYENTE 
 OFICINA DE ASISTENCIA Y EDUCACIÓN AL 
 CONTRIBUYENTE 
 429 – SDAC - 2021 
 77318691947 
 
 
 
 
 
 
 
INCORPÓRASE A INGE SOCIEDAD ANÓNIMA 
DE GARANTÍA RECÍPROCA, EN LA NÓMINA DE 
ENTIDADES PARA SER RECEPTORA DE LA 
CARPETA TRIBUTARIA POR MANDATO. 
 
SA"
181,circular,5,2013,2013-01-23,Circular N° 5 del 23 de Enero del 2013,2,5723,pdfs/circular/2013/circular_2013_0005.pdf,"1 
SUBDIRECCIÓN EMISORA 
SUBDIRECCIÓN DE FISCALIZACIÓN 
 
 
CIRCULAR Nº 05 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 23 de enero de 2013.- 
 
MATERIA: 
 
 
 
 
 
 
 
 
REFERENCIA: 
TABLA DE CÁLCULOS DE REAJUSTES, INTERESES 
 Y MULTAS FEBRERO 2013 
 
 
 
Nº Y NOMBRE DEL VOLUMEN 
 
 
 
 
 
 "
3776,oficio,2119,2022,2022-07-12,Renta – Actual Ley sobre Impuesto a la – Art. 17 N° 8,3,10223,pdfs/oficio/lir/2022/oficio_2022_2119.pdf,"RENTA – ACTUAL LEY SOBRE IMPUESTO A LA – ART. 17 N° 8 
(ORD. N° 2119 DE 12.07.2022). 
 
Valor tributario de inversión y forma de determinar el costo tributario de acciones. 
Se ha solicitado a este Servicio un pronunciamiento sobre cuáles son los valores tributarios de una 
inversión realizada con s"
9638,circular,55,2005,2005-10-14,Circular Nº 55 del 14 de Octubre del 2005,19,64405,pdfs/circular/2005/circular_historica_2005_circu55.pdf,"Circular Nº 55 del 14 de Octubre del 2005

CIRCULAR N° 55, DEL 14 DE OCTUBRE DE 2005 
MATERIA: INSTRUCCIONES SOBRE IMPUESTO ESPECÍFICO QUE AFECTA A LA 
RENTA 
OPERACIONAL 
DE 
LA 
ACTIVIDAD 
MINERA 
OBTENIDA 
POR 
UN 
EXPLOTADOR MINERO.
I.-
INTRODUCCIÓN
a) En el Diario Oficial de fecha 16 de junio d"
8663,judicial,163-2022,2023,2023-06-02,ROL 163-2022 - Asesorías e Inversiones Pani Limitada con SII,6,16496,pdfs/judicial/2023/judicial_2023_ROL_163-2022_id17943.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 17943
Tipo Codigo: ROL
Codigo/Rol: 163-2022
Fecha: 2023-06-02
Instancia: Corte de Apelaciones de Santiago
Tipo de pronunciamiento: Sentencia
Partes: Asesorías e Inversiones Pani Limitada con SII
RUC: : 20-9-0000208-5
Resultado: Sin dato
Decision: Sin dato
Fuente "
5543,oficio,2593,2021,2021-09-28,"Ley sobre Impuesto a las Herencias, Asignaciones y Donaciones – Art. 18, N° 8 – Circular N° 33, de 2021. 
",1,2711,pdfs/oficio/otras_normas/2021/oficio_2021_2593.pdf,"LEY SOBRE IMPUESTO A LAS HERENCIAS, ASIGNACIONES Y DONACIONES – ART. 18, 
N° 8 – CIRCULAR N° 33, DE 2021. (ORD. N° 2593, DE 28.09.2021) 
 
 
 
 
 
 
 
 
 
 
 
 
 
Cumplimiento del deber de informar las donaciones establecido en el N° 8 del artículo 18 de la Ley 
N° 16.271. 
 
 
De acuerdo con su pre"
6290,judicial,8625-2012,2013,2013-11-13,ROL 8625-2012 - Corte Suprema Segunda Sala Corte Suprema,12,36097,pdfs/judicial/2013/judicial_2013_ROL_8625-2012_id2087.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 2087
Tipo Codigo: ROL
Codigo/Rol: 8625-2012
Fecha: 2013-11-13
Instancia: Corte Suprema
Tipo de pronunciamiento: Sentencia
Partes: Corte Suprema Segunda Sala Corte Suprema
RUC: Sin dato
Resultado: Sin dato
Decision: Sin dato
Fuente SII: https://www4.sii.cl/acjui/i"
286,circular,62,2015,2015-07-10,Circular N° 62 del 10 de Julio del 2015,3,7365,pdfs/circular/2015/circular_2015_0062.pdf,"DEPARTAMENTO EMISOR: 
DEPARTAMENTO DE ASESORÍA JURÍDICA 
 
 
CIRCULAR Nº 62.- 
 
 
SISTEMA DE PUBLICACIONES 
ADMINISTRATIVAS 
 
FECHA: 10 de julio de 2015.- 
 
MATERIA: 
IMPARTE 
INSTRUCCIONES 
SOBRE 
EL 
PROCEDIMIENTO 
DE 
CONSULTA PÚBLICA DE CIRCULARES E 
INSTRUCCIONES QUE INTERPRETEN CON 
CARÁCTE"
