id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
803,circular,49,2023,2023-11-13,Circular N° 49 del 13 de Noviembre del 2023,2,6373,pdfs/circular/2023/circular_2023_0049.pdf,"SUBDIRECCIÓN EMISORA: 
SUBDIRECCIÓN DE FISCALIZACIÓN 
 
 
CIRCULAR Nº49.- 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 13 DE NOVIEMBRE DE 2023 
 
MATERIA: 
 
 
 
 
 
 
 
 
REFERENCIA LEGAL: 
TABLA DE CÁLCULOS DE REAJUSTES, INTERESES 
Y MULTAS DICIEMBRE 2023. 
 
 
 
 
 
 
 
 
Arts. 53 y 97 Nos"
999,resolucion,24,2025,2023-03-15,MATERIA: MODIFICA RESOLUCIÓN EX. SII N°54 DE,2,3459,pdfs/resolucion/2025/resolucion_2025_0024.pdf,"MATERIA: MODIFICA RESOLUCIÓN EX. SII N°54 DE 
02 MAYO DE 2024, REEMPLAZANDO ORDEN DE 
SUBROGANTES DE LA SECRETARÍA GENERAL 
DEL SERVICIO DE IMPUESTOS INTERNOS 
 
RESOLUCIÓN EXENTA SII N°24.- 
 
SANTIAGO, 21 DE FEBRERO 2025. 
 
 
VISTOS: 
 
Las necesidades del Servicio, las facultades que se me 
conf"
3945,oficio,621,2022,2022-02-28,Renta – Actual Ley sobre Impuesto a la – Art. 17 N° 8 letra b) y art. 31 – Oficio Ordinario N° 2832 de 2003,1,3152,pdfs/oficio/lir/2022/oficio_2022_0621.pdf,"RENTA – ACTUAL LEY SOBRE IMPUESTO A LA – ART. 17 N° 8 LETRA B) Y ART. 31 – 
OFICIO ORDINARIO N° 2832 DE 2003 
 
(ORD. N° 621 DE 28.02.2022). 
 
Cuotas de leasing de un terreno con plantaciones. 
De acuerdo con su presentación, consulta sobre la vigencia del Oficio N° 2832 de 2003, sobre 
tratamiento"
