tipo,anio,docs,sospechosos_truncados,sin_chars,sin_paginas,min_len,avg_len,max_len
circular,2026,10,0,0,0,2706,9966.4,40314
oficio,2026,53,0,0,0,1949,4823.2,15035
resolucion,2026,40,0,0,0,2578,11500.0,51844
circular,2025,68,0,0,0,1510,22118.9,123312
oficio,2025,197,0,0,0,140,4610.6,17891
resolucion,2025,208,0,0,0,2161,12766.8,102889
circular,2024,54,0,0,0,1475,15317.6,110093
oficio,2024,151,0,0,0,1235,4910.2,12326
resolucion,2024,132,0,0,0,2240,10345.2,48048
circular,2023,54,0,0,0,1721,10724.8,49825
oficio,2023,384,0,0,0,1023,4815.7,21141
resolucion,2023,149,0,0,0,1948,10713.1,105243
circular,2022,58,0,0,0,178,18548.3,116521
oficio,2022,572,0,0,0,621,4989.0,16417
resolucion,2022,127,0,0,0,2019,11106.0,71648
circular,2021,67,0,0,0,59,26186.4,235818
oficio,2021,490,0,0,0,1073,6479.4,18693
resolucion,2021,143,0,0,0,2040,11397.8,43844
circular,2020,73,0,0,0,772,30622.2,447142
oficio,2020,271,0,0,0,2209,8322.9,21463
resolucion,2020,175,0,0,0,1424,9606.4,41824
circular,2019,49,0,0,0,1322,8372.7,30419
oficio,2019,199,0,0,0,2615,10883.6,35232
resolucion,2019,145,0,0,0,1469,7966.6,41291
