id,tipo,numero,anio,fecha,titulo,len_contenido,chars_texto,paginas,pdf_local,inicio
591,circular,73,2020,2020-12-22,Circular N° 73 del 22 de Diciembre del 2020,447142,447142,113,pdfs/circular/2020/circular_2020_0073.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Impuestos Directos 
CIRCULAR N°73 
09.2020 ID 
24.2019 SN 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 22 DE DICIEMBRE DE 2020 
MATERIA: Instruye sobre las modificaciones 
introducidas por la Ley N° 21.210 a la Ley sobre 
Impuesto a la Renta y de"
602,circular,62,2020,2020-09-24,Circular N° 62 del 24 de Septiembre del 2020,327166,327166,89,pdfs/circular/2020/circular_2020_0062.pdf,"DEPARTAMENTO EMISOR 
SUBDIRECCIÓN NORMATIVA 
IMPUESTOS DIRECTOS 
CIRCULAR N° 62 
25.2020 CIRC.SN 
10.2020 CIRC.ID 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 24 DE SEPTIEMBRE DE 2020 
MATERIA: Instruye sobre los nuevos regímenes 
tributarios incorporados por la Ley N° 21.210, para 
la micro"
724,circular,12,2021,2021-02-17,Circular N° 12 del 17 de Febrero del 2021,235818,235818,46,pdfs/circular/2021/circular_2021_0012.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Jurídica 
Departamento de Asesoría Jurídica 
CIRCULAR Nº 12.- 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 17 DE FEBRERO DE 2021 
MATERIA: Imparte instrucciones sobre derechos de 
los contribuyentes, comparecencia, notificaciones, 
procedimientos administra"
611,circular,53,2020,2020-08-10,Circular N° 53 del 10 de Agosto del 2020,195914,195914,45,pdfs/circular/2020/circular_2020_0053.pdf,"DEPARTAMENTO EMISOR 
Subdirección Normativa 
Impuestos Directos 
CIRCULAR N° 53 
11.2020 SN 
07.2020 ID 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 10 de agosto de 2020 
MATERIA: 
Imparte 
instrucciones 
sobre 
modificaciones introducidas al artículo 21 y 31 de la 
Ley sobre Impuesto a la R"
690,circular,43,2021,2021-07-05,Circular N° 43 del 05 de Julio del 2021,173454,173454,49,pdfs/circular/2021/circular_2021_0043.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Impuestos Directos 
CIRCULAR N°43.- 
180906.2021 GE 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 5 DE JULIO DE 2021 
MATERIA Imparte instrucciones sobre las 
modificaciones introducidas por la Ley N° 
21.210, a los números 5, 6, 7 y 8 del artícul"
693,circular,41,2021,2021-07-02,Circular N° 41 del 02 de Julio del 2021,163403,163403,37,pdfs/circular/2021/circular_2021_0041.pdf,"DEPARTAMENTO EMISOR 
Subdirección Jurídica 
Departamento de Asesoría Jurídica 
CIRCULAR N°41.- 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 02 DE JULIO DE 2021 
MATERIA 
Imparte 
instrucciones 
sobre 
modificaciones introducidas por la Ley N° 21.210 
al Código Tributario, en relación con las"
704,circular,31,2021,2021-05-19,Circular N° 31 del 19 de Mayo del 2021,142377,142377,37,pdfs/circular/2021/circular_2021_0031.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Impuestos Directos 
CIRCULAR N°31.- 
179607.2021 GE 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 19 DE MAYO DE 2021 
MATERIA: 
Instruye 
sobre 
modificaciones 
introducidas por la Ley N° 21.210 a los artículos 
41 A y 41 B, y eliminación del artí"
608,circular,56,2020,2020-09-04,Circular N° 56 del 04 de Septiembre del 2020,123825,123825,30,pdfs/circular/2020/circular_2020_0056.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Impuestos Directos 
 
CIRCULAR N°56 
28.2020 ID 
13.2020 SN 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA:4 de septiembre de 2020 
MATERIA: Instruye sobre las modificaciones 
efectuadas por la Ley N° 21.210 a la Ley sobre 
Impuesto a la Renta y dem"
944,circular,31,2025,2025-04-17,Circular N° 31 del 17 de Abril del 2025,123312,123312,29,pdfs/circular/2025/circular_2025_0031.pdf,"DEPARTAMENTO EMISOR 
Subdirección Jurídica 
Departamento de Asesoría Jurídica 
CIRCULAR Nº31.- 
GE00312320 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 17 DE ABRIL DE 2025.- 
MATERIA: Imparte instrucciones acerca de las 
normas incorporadas en el Código Tributario por 
las Leyes N° 21.713 y "
957,circular,19,2025,2025-03-06,Circular N° 19 del 06 de Marzo del 2025,118461,118461,28,pdfs/circular/2025/circular_2025_0019.pdf,"DEPARTAMENTO EMISOR 
Subdirección Jurídica 
Departamento de Asesoría Jurídica 
CIRCULAR N°19.- 
GE00306107 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 06 DE MARZO DE 2025. 
MATERIA 
Imparte 
instrucciones 
sobre 
diversas 
modificaciones introducidas por la Ley N° 21.713 al 
Código Tributario."
