id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
10108,circular,7,1999,1999-01-28,Circular Nº 07 del 28 de Enero de 1999,3,1968,pdfs/circular/1999/circular_historica_1999_circu07_html.pdf,"Circular Nº 07 del 28 de Enero de 1999

MATERIA: REAJUSTE AVALUOS BIENES RAICES PRIMER SEMESTRE DE 1999

>
MATERIA: REAJUSTE AVALUOS BIENES RAICES PRIMER
SEMESTRE DE 1999
1.- VARIACION DEL IPC.
-
Durante el segundo semestre del año 1998, el Indice
de Precios al Consumidor experimentó una variación d"
6739,judicial,7-2014,2015,2015-07-09,ROL 7-2014 - Prokurica Prokurica Nicolás,3,7665,pdfs/judicial/2015/judicial_2015_ROL_7-2014_id3780.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 3780
Tipo Codigo: ROL
Codigo/Rol: 7-2014
Fecha: 2015-07-09
Instancia: Corte de Apelaciones de Copiapó
Tipo de pronunciamiento: Sentencia
Partes: Prokurica Prokurica Nicolás
RUC: Sin dato
Resultado: Sin dato
Decision: Sin dato
Fuente SII: https://www4.sii.cl/acjui"
9557,circular,2,2007,2007-01-01,Circular Nº 02 del 05 de Enero del 2007,5,6512,pdfs/circular/2007/circular_historica_2007_circu02_html.pdf,"Circular Nº 02 del 05 de Enero del 2007

MATERIA: Tablas de Impuesto Único de Segunda Categoría para el mes de Febrero del Año 2007 e Información Adicional Relacionada con Dicho Tributo.

I.-
INFORMACION GENERAL
1.-
Indice y Variación del IPC del mes de
Diciembre del año 2006
respecto
del mes anteri"
2601,resolucion,96,2015,2015-11-30,SERVICIO DE IMPUESTOS INTERNOS,2,4499,pdfs/resolucion/2015/resolucion_2015_0096.pdf,"SERVICIO DE IMPUESTOS INTERNOS 
SUBDIRECCIÓN DE FISCALIZACIÓN 
DEPARTAMENTO DE ANÁLISIS MASIVO 
DEL CUMPLIMIENTO TRIBUTARIO 
 365-2015; 77315810853 
 359-2015; 77315814130 
 356-2015; 77315810924 
 
 
AUTORIZA A LAS INSTITUCIONES SIN FINES DE 
LUCRO, COMO RECEPTORAS DE ALIMENTOS CUYA 
COMERCIALIZACI"
6766,judicial,GR-12-00055-2014,2015,2015-12-07,RIT GR-12-00055-2014 - Sociedad Inmobiliaria e Inversiones Tribunales de Puerto Montt S.A.,17,54137,pdfs/judicial/2015/judicial_2015_RIT_GR-12-00055-2014_id3899.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 3899
Tipo Codigo: RIT
Codigo/Rol: GR-12-00055-2014
Fecha: 2015-12-07
Instancia: Tribunal Tributario y Aduanero de la Región de Los Lagos
Tipo de pronunciamiento: Sentencia
Partes: Sociedad Inmobiliaria e Inversiones Tribunales de Puerto Montt S.A.
RUC: Sin dato
R"
3607,oficio,777,2023,2023-03-09,"Ventas y Servicios – Ley sobre Impuesto a las – Art. 2 N° 2 – Ley N° 21.420, Art. 8° Transitorio – Reglamento Ley N° 19.886, Art. 77 – Circular N° 50 de 2022. ",2,5370,pdfs/oficio/iva/2023/oficio_2023_0777.pdf,"VENTAS Y SERVICIOS – LEY SOBRE IMPUESTO A LAS – ART. 2 N° 2 – LEY N° 
21.420, ART. 8° TRANSITORIO – REGLAMENTO LEY N° 19.886, ART. 77 – 
CIRCULAR N° 50 DE 2022 (ORD. N° 777, DE 09.03.2023) 
 
 
 
 
 
 
 
 
 
 
 
 
 
Cambio “sustancial” para los efectos del inciso segundo del artículo octavo transito"
3333,oficio,2014,2023,2023-07-20,"Renta – Ley sobre Impuesto a la – Art. 31, Art. 68 – Ventas y servicios – Ley sobre Impuesto a las –Art. 3, Art. 2 N° 2, Art. 12 letra E N° 20, Art. 19, Art. 52 y ss. – Ley N° 21.420, Art. 6 – Circular N° 53 de 2020 – Circular N° 50 de 2022 ",4,10614,pdfs/oficio/lir/2023/oficio_2023_2014.pdf,"RENTA – LEY SOBRE IMPUESTO A LA – ART. 31, ART. 68 – VENTAS Y SERVICIOS – 
LEY SOBRE IMPUESTO A LAS –ART. 3, ART. 2 N° 2, ART. 12 LETRA E N° 20, ART. 19, 
ART. 52 Y SS. – LEY N° 21.420, ART. 6 – CIRCULAR N° 53 DE 2020 – CIRCULAR N° 50 
DE 2022 
(ORD. N° 2014, DE 20.07.2023). 
 
Obligaciones tributar"
9612,circular,14,2006,2006-01-01,Circular Nº 14 del 08 de Marzo del 2006,5,6211,pdfs/circular/2006/circular_historica_2006_circu14_html.pdf,"Circular Nº 14 del 08 de Marzo del 2006

MATERIA: Tablas de Impuesto Unico de Segunda Categoría para el Mes de Abril del Año 2006 e Información Adicional Relacionada con Dicho Tributo.

I.- INFORMACION GENERAL
1.-
Indice y Variación del IPC del mes de
Febrero del año 2006
respecto del
mes anterior.
"
1292,resolucion,72,2024,2024-07-04,SUBDIRECCIÓN DE GESTIÓN ESTRATÉGICA Y,4,10966,pdfs/resolucion/2024/resolucion_2024_0072.pdf,"SUBDIRECCIÓN DE GESTIÓN ESTRATÉGICA Y 
ESTUDIOS TRIBUTARIOS 
GE00286188 
MATERIA: Autoriza acceso a los Servicios de 
Interoperabilidad Cartografía Digital “SII-MAPAS” a la 
Ilustre Municipalidad de Castro. 
 
SANTIAGO, 04 DE JULIO DE 2024. 
 
RESOLUCIÓN EXENTA SII N°72.- 
 
VISTOS: Lo dispuesto en "
6506,judicial,639-2013,2013,2013-06-27,ROL 639-2013 - Sociedad de Servicios Profesionales Consultoría y Capacitación BCL Limitada,9,28551,pdfs/judicial/2013/judicial_2013_ROL_639-2013_id2865.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 2865
Tipo Codigo: ROL
Codigo/Rol: 639-2013
Fecha: 2013-06-27
Instancia: Corte de Apelaciones de Concepción
Tipo de pronunciamiento: Sentencia
Partes: Sociedad de Servicios Profesionales Consultoría y Capacitación BCL Limitada
RUC: Sin dato
Resultado: Sin dato
Dec"
