id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
1630,resolucion,128,2022,2022-12-29,SUBDIRECCIÓN DE FISCALIZACIÓN,2,5669,pdfs/resolucion/2022/resolucion_2022_0128.pdf,"SUBDIRECCIÓN DE FISCALIZACIÓN 
DEPARTAMENTO DE DISEÑO DE PROCEDIMIENTOS 
 
 
 
 
ESTABLECE FORMA DE DECLARACIÓN Y PAGO 
DE LOS IMPUESTOS ESTABLECIDOS EN EL 
DECRETO LEY Nº 3475 DE 1980 SOBRE IMPUESTO 
DE TIMBRES Y ESTAMPILLAS. DEJA SIN EFECTO 
RESOLUCIÓN EXENTA Nº 2824 DE 1994. 
 
SANTIAGO, 29 DE DI"
7318,judicial,214-2018,2019,2019-04-10,ROL 214-2018 - Ingelec Chile S.A. con Servicio de Impuestos Internos Dirección Regional Metropolitana Santiago Oriente,1,1073,pdfs/judicial/2019/judicial_2019_ROL_214-2018_id14443.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 14443
Tipo Codigo: ROL
Codigo/Rol: 214-2018
Fecha: 2019-04-10
Instancia: Corte de Apelaciones de Santiago
Tipo de pronunciamiento: Sentencia
Partes: Ingelec Chile S.A. con Servicio de Impuestos Internos Dirección Regional Metropolitana Santiago Oriente
RUC: 0000
"
7651,judicial,283-2018,2019,2019-08-01,ROL 283-2018 - BRAVO CARDEMIL PATRICIO / SII,2,2445,pdfs/judicial/2019/judicial_2019_ROL_283-2018_id15095.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 15095
Tipo Codigo: ROL
Codigo/Rol: 283-2018
Fecha: 2019-08-01
Instancia: Corte de Apelaciones de Santiago
Tipo de pronunciamiento: Sentencia
Partes: BRAVO CARDEMIL PATRICIO / SII
RUC: 14-9-0000831-8
Resultado: Sin dato
Decision: Sin dato
Fuente SII: https://www4."
6962,judicial,6822-2012,2013,2013-11-12,ROL 6822-2012 - LUIS BENAVIDES ECHANEZ CON S.I.I,8,23503,pdfs/judicial/2013/judicial_2013_ROL_6822-2012_id4646.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 4646
Tipo Codigo: ROL
Codigo/Rol: 6822-2012
Fecha: 2013-11-12
Instancia: Corte Suprema
Tipo de pronunciamiento: Sentencia
Partes: LUIS BENAVIDES ECHANEZ CON S.I.I
RUC: Sin dato
Resultado: Sin dato
Decision: Sin dato
Fuente SII: https://www4.sii.cl/acjui/internet/"
8144,judicial,GR-19-00024-2019,2020,2020-06-19,RIT GR-19-00024-2019 - Claudio Alejandro Landeros Vargas con SII,27,90389,pdfs/judicial/2020/judicial_2020_RIT_GR-19-00024-2019_id16410.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 16410
Tipo Codigo: RIT
Codigo/Rol: GR-19-00024-2019
Fecha: 2020-06-19
Instancia: Tribunal Tributario y Aduanero de la Región del Libertador General Bernardo O`Higgins
Tipo de pronunciamiento: Sentencia
Partes: Claudio Alejandro Landeros Vargas con SII
RUC: 19-9-0"
10009,circular,42,2000,2000-06-15,Circular Nº 42 de 15 de Junio del 2000,6,17468,pdfs/circular/2000/circular_historica_2000_circu42_html.pdf,"Circular Nº 42 de 15 de Junio del 2000

MATERIA: INSTRUCCIONES SOBRE APLICACIÓN DEL NUEVO ARTÍCULO 29 DEL DECRETO SUPREMO Nº 341, DE 1977, QUE FIJA EL TEXTO REFUNDIDO, COORDINADO Y SISTEMATIZADO DE NORMAS QUE RIGEN LA ACTIVIDAD DE LAS ZONAS Y DEPÓSITOS FRANCOS, AGREGADO POR LA LEY Nº 19.669, DE 05 D"
830,circular,22,2023,2023-05-10,Circular N° 22 del 10 de Mayo del 2023,2,6086,pdfs/circular/2023/circular_2023_0022.pdf,"1 
 SUBDIRECCIÓN EMISORA 
SUBDIRECCIÓN DE FISCALIZACIÓN 
 
 
CIRCULAR Nº22.- 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA:10 DE MAYO DE 2023. 
 
MATERIA: 
 
 
 
 
 
 
 
 
REFERENCIA: 
TABLA DE CÁLCULOS DE REAJUSTES, INTERESES 
Y MULTAS JUNIO 2023. 
 
 
 
 
 
 
 
 
 
 
 
 
 
Arts. 53 y 97 Nos 2"
4888,oficio,2998,2020,2020-12-21,Ventas y Servicios – Art. 2 N° 2 y art. 13 N° 4,2,5156,pdfs/oficio/iva/2020/oficio_2020_2998.pdf,"VENTAS Y SERVICIOS – ART. 2 N° 2 Y ART. 13 N° 4 
 
(ORD. N° 2998 DE 21.12.2020). 
 
Tratamiento tributario de servicios médicos y educacionales, prestados mediante plataformas 
digitales, respecto del IVA. 
Se ha solicitado a este Servicio un pronunciamiento sobre la aplicación de IVA en los servici"
6062,judicial,GR-18-00050-2013,2014,2014-11-20,RIT GR-18-00050-2013 - Inversiones MT Limitada,17,55649,pdfs/judicial/2014/judicial_2014_RIT_GR-18-00050-2013_id1319.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 1319
Tipo Codigo: RIT
Codigo/Rol: GR-18-00050-2013
Fecha: 2014-11-20
Instancia: Cuarto Tribunal Tributario y Aduanero de la Región Metropolitana
Tipo de pronunciamiento: Sentencia
Partes: Inversiones MT Limitada
RUC: Sin dato
Resultado: Sin dato
Decision: Sin dat"
7449,judicial,78-2018,2019,2019-07-22,ROL 78-2018 - INVERSIONES GUADALUPE LIMITADA/ SII,7,19800,pdfs/judicial/2019/judicial_2019_ROL_78-2018_id15200.pdf,"JURISPRUDENCIA JUDICIAL SII

ID SII: 15200
Tipo Codigo: ROL
Codigo/Rol: 78-2018
Fecha: 2019-07-22
Instancia: Corte de Apelaciones de Santiago
Tipo de pronunciamiento: Sentencia
Partes: INVERSIONES GUADALUPE LIMITADA/ SII
RUC: 13-9-0002256-K
Resultado: Sin dato
Decision: Sin dato
Fuente SII: https://"
