id,tipo,numero,anio,fecha,titulo,len_contenido,chars_texto,paginas,pdf_local,inicio
944,circular,31,2025,2025-04-17,Circular N° 31 del 17 de Abril del 2025,123312,123312,29,pdfs/circular/2025/circular_2025_0031.pdf,"DEPARTAMENTO EMISOR 
Subdirección Jurídica 
Departamento de Asesoría Jurídica 
CIRCULAR Nº31.- 
GE00312320 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 17 DE ABRIL DE 2025.- 
MATERIA: Imparte instrucciones acerca de las 
normas incorporadas en el Código Tributario por 
las Leyes N° 21.713 y "
957,circular,19,2025,2025-03-06,Circular N° 19 del 06 de Marzo del 2025,118461,118461,28,pdfs/circular/2025/circular_2025_0019.pdf,"DEPARTAMENTO EMISOR 
Subdirección Jurídica 
Departamento de Asesoría Jurídica 
CIRCULAR N°19.- 
GE00306107 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 06 DE MARZO DE 2025. 
MATERIA 
Imparte 
instrucciones 
sobre 
diversas 
modificaciones introducidas por la Ley N° 21.713 al 
Código Tributario."
966,circular,10,2025,2025-01-30,Circular N° 10 del 30 de Enero del 2025,106744,106744,23,pdfs/circular/2025/circular_2025_0010.pdf,"1 
 
DEPARTAMENTO EMISOR 
Subdirección Normativa 
Departamento de Impuestos Directos 
CIRCULAR N°10.- 
300338.2024 GE 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 30 DE ENERO DE 2025. 
MATERIA: 
Imparte 
instrucciones 
sobre 
las 
modificaciones introducidas por la Ley N° 21.713 al 
artículo"
1047,resolucion,72,2025,2025-06-19,SUBDIRECCIÓN DE FISCALIZACIÓN,102889,102889,29,pdfs/resolucion/2025/resolucion_2025_0072.pdf,"SUBDIRECCIÓN DE FISCALIZACIÓN 
DEPARTAMENTO DE ANÁLISIS DE RIESGOS 
INTERNACIONALES Y GRUPOS EMPRESARIALES 
GE 326439 
 
ESTABLECE CONTENIDO Y PROCEDIMIENTO DE 
SUSCRIPCIÓN Y EJECUCIÓN DE ACUERDOS DE 
COOPERACIÓN CON GRUPOS EMPRESARIALES, 
CONFORME CON LOS INCISOS TERCERO Y 
CUARTO DEL N° 18 DEL ART"
1052,resolucion,77,2025,2025-06-26,SERVICIO DE IMPUESTOS INTERNOS,93625,93625,26,pdfs/resolucion/2025/resolucion_2025_0077.pdf,"SERVICIO DE IMPUESTOS INTERNOS 
SUBDIRECCIÓN JURÍDICA 
DEPTO. DE ASESORÍA JURÍDICA 
SUBDIRECCIÓN DE ASISTENCIA AL 
CONTRIBUYENTE 
DEPTO. DE CICLO DE VIDA 
GE323922 
ESTABLECE PROCEDIMIENTO PARA LA OBTENCIÓN 
DE RUT E INICIO DE ACTIVIDADES 
SANTIAGO, 26 DE JUNIO DE 2025 
RESOLUCIÓN EX. SII N°77.- 
VI"
1046,resolucion,71,2025,2025-06-19,SUBDIRECCIÓN DE FISCALIZACIÓN,89966,89966,26,pdfs/resolucion/2025/resolucion_2025_0071.pdf,"SUBDIRECCIÓN DE FISCALIZACIÓN 
DEPARTAMENTO DE ANÁLISIS DE RIESGOS 
INTERNACIONALES Y GRUPOS EMPRESARIALES 
GE 325709 
IMPARTE 
INSTRUCCIONES 
SOBRE 
PROCEDIMIENTO PARA QUE LAS EMPRESAS 
CERTIFICADORAS 
INDEPENDIENTES 
PUEDAN 
OTORGAR 
CERTIFICACIÓN 
ANUAL 
DE 
SOSTENIBILIDAD 
TRIBUTARIA 
A 
LOS 
CO"
965,circular,11,2025,2025-01-30,Circular N° 11 del 30 de Enero del 2025,68415,68415,15,pdfs/circular/2025/circular_2025_0011.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Departamento de Impuestos Directos 
CIRCULAR N°11.- 
299913.2024 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 30 DE ENERO DE 2025. 
MATERIA Imparte instrucciones sobre las modificaciones 
introducidas por la Ley N° 21.713 a los artículos 10, 41 G"
1093,resolucion,118,2025,2025-09-10,SUBDIRECCIÓN JURÍDICA,68284,68284,19,pdfs/resolucion/2025/resolucion_2025_0118.pdf,"SUBDIRECCIÓN JURÍDICA 
SUBDIRECCIÓN DE ASISTENCIA AL 
CONTRIBUYENTE 
 GE340743 
REEMPLAZA ANEXOS I y II DE LA RESOLUCIÓN 
EX. SII N°77, DE 2025. 
SANTIAGO, 10 DE SEPTIEMBRE DE 2025 
RESOLUCIÓN EX. SII N°118.- 
VISTOS: 
Lo dispuesto en los artículos 1°, 2°, 6° letra A) N° 1, 
66, 66 bis y 68 del Códi"
936,circular,39,2025,2025-04-30,Circular N° 39 del 30 de Abril del 2025,68128,68128,16,pdfs/circular/2025/circular_2025_0039.pdf,"DEPARTAMENTO EMISOR 
Subdirección Normativa 
Impuestos Indirectos 
CIRCULAR N°39.- 
315212.2025 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 30 DE ABRIL DE 2025. 
MATERIA 
Imparte 
instrucciones 
sobre 
las 
modificaciones introducidas por la Ley N° 21.713 a la 
Ley sobre Impuesto a las Venta"
940,circular,35,2025,2025-04-30,Circular N° 35 del 30 de Abril del 2025,63300,63300,14,pdfs/circular/2025/circular_2025_0035.pdf,"DEPARTAMENTO EMISOR 
Subdirección Jurídica. 
Asesoría Jurídica 
CIRCULAR N°35.- 
317829.2025 GE 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 30 DE ABRIL DE 2025 
MATERIA 
Imparte 
instrucciones 
sobre 
las 
modificaciones introducidas por la Ley N° 21.713 en 
el Código Tributario, en materia"
