tipo,anio,docs,sospechosos_truncados,sin_chars,sin_paginas,min_len,avg_len,max_len
circular,2026,10,0,0,0,2706,9966.4,40314
judicial,2026,6,0,0,0,8032,23197.3,36895
oficio,2026,64,0,0,0,1949,5539.5,28246
resolucion,2026,40,0,0,0,2578,11500.0,51844
circular,2025,68,0,0,0,1510,22118.9,123312
judicial,2025,193,0,0,0,783,41243.9,291117
oficio,2025,270,0,0,0,140,5139.8,20984
resolucion,2025,208,0,0,0,2161,12766.8,102889
circular,2024,54,0,0,0,1475,15317.6,110093
judicial,2024,170,0,0,0,1243,47131.4,230015
oficio,2024,200,0,0,0,1235,5158.6,14036
resolucion,2024,132,0,0,0,2240,10345.2,48048
circular,2023,54,0,0,0,1721,10724.8,49825
judicial,2023,185,0,0,0,567,47477.6,241823
oficio,2023,456,0,0,0,1023,5007.4,21141
resolucion,2023,149,0,0,0,1948,10713.1,105243
circular,2022,58,0,0,0,178,18548.3,116521
judicial,2022,140,0,0,0,5346,50076.2,337065
oficio,2022,682,0,0,0,621,4990.2,28127
resolucion,2022,127,0,0,0,2019,11106.0,71648
circular,2021,67,0,0,0,59,26186.4,235818
judicial,2021,126,0,0,0,6630,63362.4,289976
oficio,2021,585,0,0,0,1073,6549.5,19129
resolucion,2021,143,0,0,0,2040,11397.8,43844
circular,2020,73,0,0,0,772,30622.2,447142
judicial,2020,391,0,0,0,702,50872.0,339648
oficio,2020,316,0,0,0,2209,8207.6,21463
resolucion,2020,175,0,0,0,1424,9606.4,41824
circular,2019,49,0,0,0,1322,8372.7,30419
judicial,2019,836,0,0,0,818,38100.2,396217
oficio,2019,255,0,0,0,2615,10577.3,35232
resolucion,2019,145,0,0,0,1469,7966.6,41291
circular,2018,60,0,0,0,63,10895.4,81936
judicial,2018,32,0,0,0,2768,23925.8,76586
resolucion,2018,153,0,0,0,1934,7898.1,36173
circular,2017,63,0,0,0,58,8001.9,72407
judicial,2017,24,0,0,0,7220,33969.4,102216
resolucion,2017,128,0,0,0,2110,11230.7,299945
circular,2016,70,0,0,0,1483,46351.4,749881
judicial,2016,114,0,0,0,4812,45534.7,371244
resolucion,2016,130,0,0,0,1275,9411.3,44405
circular,2015,92,0,0,0,60,43035.4,335053
judicial,2015,461,0,0,0,1782,38683.2,386535
resolucion,2015,126,0,0,0,1506,6364.9,22302
circular,2014,70,0,0,0,59,21413.1,156110
judicial,2014,235,0,0,0,4498,39218.6,183362
resolucion,2014,129,0,0,0,1790,9440.0,43906
circular,2013,61,0,0,0,54,14260.4,125725
judicial,2013,245,0,0,0,3659,48575.4,309816
resolucion,2013,111,0,0,0,1778,8550.3,48009
circular,2012,57,0,0,0,250,22891.6,895422
judicial,2012,378,1,0,0,2019,44435.9,288755
circular,2011,52,0,0,0,1047,19146.0,708587
circular,2010,76,0,0,0,265,13328.1,127868
circular,2009,68,0,0,0,399,10895.6,107275
circular,2008,67,0,0,0,1007,14617.6,246068
judicial,2008,1,0,0,0,23022,23022.0,23022
circular,2007,62,0,0,0,806,9981.2,96527
circular,2006,66,0,0,0,1007,8605.0,83199
circular,2005,66,0,0,0,335,9178.5,64405
circular,2004,58,0,0,0,821,11551.3,70553
circular,2003,61,0,0,0,1168,11229.4,113631
circular,2002,71,0,0,0,827,12161.2,73752
circular,2001,98,0,0,0,359,16242.1,162752
circular,2000,74,0,0,0,346,13285.5,182178
circular,1999,72,0,0,0,264,15682.1,244492
circular,1998,81,0,0,0,257,12510.7,115292
circular,1997,78,0,0,0,1008,20324.5,311472
circular,1996,76,0,0,0,1049,10060.9,102851
circular,1995,52,0,0,0,1064,14567.2,79977
