id,tipo,numero,anio,fecha,titulo,len_contenido,chars_texto,paginas,pdf_local,inicio
7,circular,4,2026,2026-01-19,Circular N° 4 del 19 de Enero del 2026,40314,40314,9,pdfs/circular/2026/circular_2026_0004.pdf,"DEPARTAMENTO EMISOR 
Subdirección Normativa 
Impuestos Directos 
CIRCULAR N°04.- 
361026.2026 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 19 DE ENERO DE 2026 
MATERIA: Reitera instrucciones sobre el tratamiento 
tributario de gastos y donaciones asociados a la 
ocurrencia de catástrofes, as"
4,circular,7,2026,2026-02-12,Circular N° 7 del 12 de Febrero del 2026,12344,12344,4,pdfs/circular/2026/circular_2026_0007.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°07 
365105.2026 GE 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 12 DE FEBRERO DE 2026 
MATERIA: Tablas de impuesto único de segunda 
categoría para el mes de marzo de 2026 e 
información adicional relacion"
1,circular,10,2026,2026-03-10,Circular N° 10 del 10 de Marzo del 2026,12034,12034,4,pdfs/circular/2026/circular_2026_0010.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°10.- 
368769.2026 GE 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 10 DE MARZO DE 2026 
MATERIA: Tablas de impuesto único de segunda 
categoría para el mes de abril de 2026 e 
información adicional relacion"
9,circular,2,2026,2026-01-09,Circular N° 2 del 09 de Enero del 2026,11855,11855,4,pdfs/circular/2026/circular_2026_0002.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°02.- 
360031.2026 GE 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 09 DE ENERO DE 2026 
MATERIA: Tablas de impuesto único de segunda 
categoría para el mes de febrero de 2026 e 
información adicional relaci"
6,circular,5,2026,2026-01-21,Circular N° 5 del 21 de Enero del 2026,8882,8882,3,pdfs/circular/2026/circular_2026_0005.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°05.- 
361019.2026 
SISTEMA DE PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 21 DE ENERO DE 2026 
MATERIA: Informa datos relacionados con la 
aplicación del sistema de corrección monetaria; 
reajustabilidad de los saldos "
2,circular,9,2026,2026-03-10,Circular N° 9 del 10 de Marzo del 2026,3167,3167,1,pdfs/circular/2026/circular_2026_0009.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°09.- 
368602.2026 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 10 DE MARZO DE 2026 
MATERIA: Operaciones de crédito de dinero. Valor de 
la Unidad de Fomento para los días comprendidos 
entre el 10 de marzo"
3,circular,8,2026,2026-02-12,Circular N° 8 del 12 de Febrero del 2026,2930,2930,1,pdfs/circular/2026/circular_2026_0008.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°08.- 
365096.2026 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 12 DE FEBRERO DE 2026 
MATERIA: Operaciones de crédito de dinero. Valor de 
la Unidad de Fomento para los días comprendidos 
entre el 10 de feb"
8,circular,3,2026,2026-01-13,Circular N° 3 del 13 de Enero del 2026,2726,2726,3,pdfs/circular/2026/circular_2026_0003.pdf,"DEPARTAMENTO EMISOR: 
Subdirección de Fiscalización 
Departamento de Diseño de Procedimientos 
 
CIRCULAR Nº03.- 
GE00360303 
SISTEMA DE PUBLICACIONES 
ADMINISTRATIVAS 
 
FECHA: 13 DE ENERO DE 2026. 
MATERIA: Informa tabla de cálculos de reajustes y 
multas para el mes de Febrero 2026. 
REF. LEGAL: "
5,circular,6,2026,2026-02-11,Circular N° 6 del 11 de Febrero del 2026,2706,2706,3,pdfs/circular/2026/circular_2026_0006.pdf,"DEPARTAMENTO EMISOR: 
Subdirección de Fiscalización 
Departamento de Diseño de Procedimientos 
GE00364839 
CIRCULAR Nº06.- 
SISTEMA DE PUBLICACIONES 
ADMINISTRATIVAS 
 
FECHA: 11 DE FEBRERO DE 2026 
MATERIA: Informa tabla de cálculos de reajustes y 
multas para el mes de Marzo 2026. 
REF. LEGAL: Art"
10,circular,1,2026,2026-01-09,Circular N° 1 del 09 de Enero del 2026,2706,2706,1,pdfs/circular/2026/circular_2026_0001.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°01 
360026.2026 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 09 DE ENERO DE 2026 
MATERIA: Operaciones de crédito de dinero. Valor de 
la Unidad de Fomento para los días comprendidos 
entre el 10 de enero d"
