id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
3,circular,8,2026,2026-02-12,Circular N° 8 del 12 de Febrero del 2026,1,2930,pdfs/circular/2026/circular_2026_0008.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°08.- 
365096.2026 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 12 DE FEBRERO DE 2026 
MATERIA: Operaciones de crédito de dinero. Valor de 
la Unidad de Fomento para los días comprendidos 
entre el 10 de feb"
10,circular,1,2026,2026-01-09,Circular N° 1 del 09 de Enero del 2026,1,2706,pdfs/circular/2026/circular_2026_0001.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°01 
360026.2026 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 09 DE ENERO DE 2026 
MATERIA: Operaciones de crédito de dinero. Valor de 
la Unidad de Fomento para los días comprendidos 
entre el 10 de enero d"
6,circular,5,2026,2026-01-21,Circular N° 5 del 21 de Enero del 2026,3,8882,pdfs/circular/2026/circular_2026_0005.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°05.- 
361019.2026 
SISTEMA DE PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 21 DE ENERO DE 2026 
MATERIA: Informa datos relacionados con la 
aplicación del sistema de corrección monetaria; 
reajustabilidad de los saldos "
7,circular,4,2026,2026-01-19,Circular N° 4 del 19 de Enero del 2026,9,40314,pdfs/circular/2026/circular_2026_0004.pdf,"DEPARTAMENTO EMISOR 
Subdirección Normativa 
Impuestos Directos 
CIRCULAR N°04.- 
361026.2026 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 19 DE ENERO DE 2026 
MATERIA: Reitera instrucciones sobre el tratamiento 
tributario de gastos y donaciones asociados a la 
ocurrencia de catástrofes, as"
2,circular,9,2026,2026-03-10,Circular N° 9 del 10 de Marzo del 2026,1,3167,pdfs/circular/2026/circular_2026_0009.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°09.- 
368602.2026 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 10 DE MARZO DE 2026 
MATERIA: Operaciones de crédito de dinero. Valor de 
la Unidad de Fomento para los días comprendidos 
entre el 10 de marzo"
