sii_id,codigo,fecha,corte,instancia,resumen
1,774-2014,2014-12-15,Corte de Apelaciones,Corte de Apelaciones de Rancagua,ARTÍCULO 132 DEL CÓDIGO TRIBUTARIO.
2,ES-17-00278-2015,2016-12-30,Tribunal Tributario y Aduanero,Tercer Tribunal Tributario y Aduanero de la Región Metropolitana,"Secreto y reserva bancaria – Declaración jurada – Artículo 60, 62, 62 bis y 97 N° 15 del Código Tributario – Artículo 154 de la Ley General de Bancos"
5,6406-2012,2013-11-21,Corte Suprema,Corte Suprema,"ARTÍCULOS 19, INCISO 1° Y 20 DEL CÓDIGO CIVIL - ARTÍCULO 23 INCISO 1° Y 24 DEL DL 825 Y 126 DEL CÓDIGO TRIBUTARIO"
7,56-2014,2014-09-10,Corte de Apelaciones,Corte de Apelaciones de Concepción,ARTÍCULO 11 INCISO 1° DEL CÓDIGO TRIBUTARIO
9,5390-11,2013-03-06,Corte Suprema,Corte Suprema,Ley N° 18.320
10,GR-07-00018-2011,2012-07-12,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Maule,Gastos rechazados – Impuesto global complementario – Norma antielusiva
11,GR-07-00018-2012,2013-01-31,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Maule,Ley sobre Impuesto a las Ventas y Servicios – Artículo 23
15,3124-2011,2013-06-10,Corte de Apelaciones,Corte de Apelaciones de Santiago,Código Tributario – Artículo 97 N° 4 incisos 1° y 3°
16,ES-19-00005-2014,2015-02-05,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Libertador General Bernardo O`Higgins,ARTÍCULO 97 N° 16 DEL CÓDIGO TRIBUTARIO – ARTÍCULOS 132 Y 165 DEL CÓDIGO TRIBUTARIO – ARTÍCULO 7 DE LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA
17,GR-15-00427-2013,2015-02-17,Tribunal Tributario y Aduanero,Primer Tribunal Tributario y Aduanero de la Región Metropolitana,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 21 INCISO 3
20,8-2012,2012-07-06,Corte de Apelaciones,Corte de Apelaciones de Talca,Código Tributario – Artículos 8 bis y 155 – Constitución Política de la República – Artículo 19 N° 24
25,32-2014,2015-08-31,Corte de Apelaciones,Corte de Apelaciones de Puerto Montt,ARTÍCULO 38 DE LA CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA-ARTÍCULO 3 DEL CÓDIGO DE PROCEDIMIENTO CIVIL- ARTÍCULO 16 DEL CÓDIGO TRIBUTARIO-ARTÍCULO 13 LETRA G DE LA LEY 13.011.
26,32-2015,2016-03-23,Corte de Apelaciones,Corte de Apelaciones de Puerto Montt,Solicitud de devolución de PPUA – Pérdida Tributaria – Necesariedad del Gasto – Compensaciones de Energía
27,4791-2013,2014-06-17,Corte Suprema,Corte Suprema,ARTICULO 14 LETRA A) N°1 LETRA C DE LA LEY SOBRE IMPUESTO A LA RENTA –ARTÍCULO 6 LETRA A N° 1 DEL CÓDIGO TRIBUTARIO –ARTÍCULO 7 DE LA LEY ORGÁNICA DEL SERVICIO DE IMPUESTOS INTERNO
28,GR-19-00038-2013,2015-08-12,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Libertador General Bernardo O`Higgins,ARTÍCULO 132 INCISO 3° DEL CÓDIGO TRIBUTARIO
30,GR-15-00089-2014,2015-05-29,Tribunal Tributario y Aduanero,Primer Tribunal Tributario y Aduanero de la Región Metropolitana,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 2
31,GR-03-00012-2011,2012-01-09,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Antofagasta,"Código Tributario – Artículos 21, 24, 50, 53, 59, 97 N° 11, 132, 136 y 200 – Ley sobre Impuesto a las Ventas y Servicios – Artículo 69"
32,GR-03-00012-2013,2014-01-24,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Antofagasta,ARTÍCULO 124 DEL CÓDIGO TRIBUTARIO – ARTÍCULO 97 DE LA LEY SOBRE IMPUESTO A LA RENTA
35,GR-08-00057-2011,2012-06-28,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de la Araucanía,"Código Tributario – Artículos 21, 63, 132, 200 y 201 – Ley sobre Impuesto a la Renta – Artículo 31"
38,GR-03-00019-2011,2012-01-30,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Antofagasta,"Código Tributario – Artículos 11, 13 y 132 – Ley sobre Impuesto a la Renta – Artículo 70"
43,7484-2013,2014-01-15,Corte Suprema,Corte Suprema,ARTÍCULO 35 DEL CÓDIGO TRIBUTARIO
44,GR-03-00019-2012,2013-04-15,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Antofagasta,Código Tributario – Artículo 132 inciso 11 – Ley N° 18.320 – Artículo Único – Ley sobre Impuesto a las Ventas y Servicios – Artículo 23 N° 5
48,1-2012,2012-04-09,Corte de Apelaciones,Corte de Apelaciones de Talca,Código Tributario – Artículo 21
49,GR-15-00082-2014,2015-09-28,Tribunal Tributario y Aduanero,Primer Tribunal Tributario y Aduanero de la Región Metropolitana,ARTÍCULOS 21 Y 132 DEL CÓDIGO TRIBUTARIO
51,GR-18-00390-2013,2016-04-01,Tribunal Tributario y Aduanero,Cuarto Tribunal Tributario y Aduanero de la Región Metropolitana,Vicios del acto administrativo – Tasación – Artículo 13 inciso 2° de la Ley N° 19.880 - Artículo 64 del Código Tributario
54,62-2015,2015-12-09,Corte de Apelaciones,Corte de Apelaciones de Santiago,ARTÍCULO 31 INCISO PRIMERO Y CUARTO N° 3 DE LA LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULOS 17 Y 21 DEL CÓDIGO TRIBUTARIO.
68,GS-14-00009-2015,2015-03-04,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Valparaíso,CÓDIGO TRIBUTARIO – ARTÍCULO 97 N°4
71,GR-17-00060-2014,2015-02-16,Tribunal Tributario y Aduanero,Tercer Tribunal Tributario y Aduanero de la Región Metropolitana,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 17
72,8753-2014,2015-03-04,Corte Suprema,Corte Suprema,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 59 INCISO 4° N° 2
73,ES-11-00007-2012,2012-06-11,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Los Ríos,Código Tributario – Artículo 97 N° 10 – Ley sobre Impuesto a las Ventas y Servicios – Artículo 55
76,GS-07-00020-2011,2012-02-03,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Maule,"Código Tributario – Artículos 21, 86, 97 N° 4 incisos 1° y 2°, Artículos 107, 132 y 161 – Decreto con Fuerza de Ley N° 7, de 1980, del Ministerio de Hacienda – Artículo 51"
78,5620-11,2012-12-07,Corte Suprema,Corte Suprema,Ley sobre Impuesto a las Ventas y Servicios – Artículo 57
81,8-2014,2014-09-11,Corte de Apelaciones,Corte de Apelaciones de San Miguel,ARTÍCULO 11 INCISO 2° Y 41 INCISO 4° DE LA LEY 19.880.
83,83-2014,2014-06-16,Corte de Apelaciones,Corte de Apelaciones de Valdivia,CÓDIGO PENAL – ARTÍCULO 103
88,GR-10-00094-2014,2015-07-07,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Biobío,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 21 – ARTÍCULO 31
94,GR-13-00004-2015,2015-09-29,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Aysén del General Carlos Ibáñez del Campo,ARTÍCULO 11 INCISOS 2° Y 5° DEL CÓDIGO TRIBUTARIO
96,GR-13-00004-2012,2012-10-24,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Aysén del General Carlos Ibáñez del Campo,Código Tributario – Artículo 123 - Ley sobre Impuesto a la Renta – Artículo 70.
114,GR-19-00013-2014,2015-12-09,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región del Libertador General Bernardo O`Higgins,"ARTÍCULO 21 DEL CÓDIGO TRIBUTARIO – LEY N° 20.322, ORGÁNICA DE TRIBUNALES TRIBUTARIOS Y ADUANEROS"
115,GR-18-00074-2013,2015-05-06,Tribunal Tributario y Aduanero,Cuarto Tribunal Tributario y Aduanero de la Región Metropolitana,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 47 – CÓDIGO TRIBUTARIO – ARTÍCULO 11 INCISO 4° - ARTÍCULO 200 INCISO 2°
122,615-2011,2012-01-24,Corte de Apelaciones,Corte de Apelaciones de Iquique,Código Tributario – Artículo 155
128,GR-14-00219-2013,2015-06-02,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Valparaíso,CÓDIGO TRIBUTARIO – ARTÍCULO 26
132,3763-2012,2013-06-17,Corte Suprema,Corte Suprema,Ley sobre Impuesto a la Renta – Artículo 14 letra A) N° 1
134,53-2014,2015-06-11,Corte de Apelaciones,Corte de Apelaciones de Temuco,CÓDIGO TRIBUTARIO – ARTÍCULO 21 INCISO PRIMERO – LEY SOBRE IMPUESTO A LAS VENTAS Y SERVICIOS – ARTÍCULO 23 N° 5
135,144-2015,2015-08-26,Corte de Apelaciones,Corte de Apelaciones de Santiago,"Sobre el contribuyente recae la carga de la prueba, y que ello no sólo implica que se presente la contabilidad, sino que es indispensable que sea él quien demuestre sus asertos. El"
148,GR-16-00111-2013,2014-11-20,Tribunal Tributario y Aduanero,Segundo Tribunal Tributario y Aduanero de la Región Metropolitana,LEY SOBRE IMPUESTO A LA RENTA - ARTÍCULO 41 A LETRA D N°4 Y ARTÍCULO 41 A LETRA C
154,GR-12-00015-2012,2013-01-10,Tribunal Tributario y Aduanero,Tribunal Tributario y Aduanero de la Región de Los Lagos,Ley sobre Impuesto a la Renta – Artículo 31 N° 3 – Código Tributario – Artículos 21 y 28 – Código de Comercio – Artículo 507
155,7021-2013,2013-11-04,Corte Suprema,Corte Suprema,ARTÍCULO 36 DE LA LEY DE IMPUESTOS A LAS VENTAS Y SERVICIOS - ARTÍCULOS 917 Y 922 DEL CÓDIGO DE COMERCIO - ARTÍCULO 7 DE LA LEY DE FOMENTO A LA MARINA MERCANTE -
157,158-2014,2015-05-05,Corte de Apelaciones,Corte de Apelaciones de Talca,CÓDIGO TRIBUTARIO – ARTÍCULO 21 INCISO PRIMERO
161,7685-2011,2013-08-05,Corte de Apelaciones,Corte de Apelaciones de Santiago,Código Tributario – Artículos 126 y 128 – Ley sobre Impuesto a las Ventas y Servicios – Artículo 23
168,119-2014,2015-03-09,Corte de Apelaciones,Corte de Apelaciones de Santiago,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 97
170,11098-2014,2015-04-02,Corte Suprema,Corte Suprema,LEY SOBRE IMPUESTO A LA RENTA – ARTÍCULO 98
171,GR-18-00092-2013,2015-02-25,Tribunal Tributario y Aduanero,Cuarto Tribunal Tributario y Aduanero de la Región Metropolitana,CÓDIGO TRIBUTARIO – ARTÍCULO 11 INCISO 1°
