id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
1397,resolucion,42,2023,2023-04-06,SUBDIRECCIÓN DE FISCALIZACIÓN,2,6902,pdfs/resolucion/2023/resolucion_2023_0042.pdf,"SUBDIRECCIÓN DE FISCALIZACIÓN 
DEPARTAMENTO DE DISEÑO DE PROCEDIMIENTOS 
 
 
 
 
ESTABLECE PROCEDIMIENTOS DE SOLICITUD Y 
EMISIÓN DE CERTIFICADOS DE CUMPLIMIENTO 
DE OBLIGACIONES TRIBUTARIAS, EN LOS CASOS 
DE 
CAMBIOS 
DE 
DIRECTORES, 
GERENTE 
GENERAL, 
ACCIONISTAS 
Y 
DETERMINADOS 
CAMBIOS SOCIETA"
1967,resolucion,18,2019,2019-01-01,SUBDIRECCIÓN DE ASISTENCIA AL,2,6041,pdfs/resolucion/2019/resolucion_2019_0018.pdf,"SUBDIRECCIÓN DE ASISTENCIA AL 
CONTRIBUYENTE 
DEPARTAMENTO DE OPERACIONES 
 77318702033 
449 – SDAC – 2018 
 
 
AUTORIZA A LA SOCIEDAD FALABELLA 
RETAIL S.A. PARA CUMPLIR LA OBLIGACIÓN 
DE 
ENTREGAR 
BOLETAS 
EN 
PAPEL 
MEDIANTE 
EL 
ENVÍO 
DE 
BOLETAS 
ELECTRÓNICAS 
EN 
LA 
FORMA 
Y 
CONDICIONES QU"
1481,resolucion,127,2023,2023-11-13,SUBDIRECCIÓN DE FISCALIZACIÓN,2,5533,pdfs/resolucion/2023/resolucion_2023_0127.pdf,"SUBDIRECCIÓN DE FISCALIZACIÓN 
DEPARTAMENTO DISEÑO DE PROCEDIMIENTOS 
 
MATERIA: 
INSTRUYE 
SOBRE 
PRESENTACIÓN DE DECLARACIÓN DE 
IMPUESTOS FORMULARIO 29 FUERA DE 
PLAZO A TRAVÉS DE INTERNET. 
SANTIAGO, 13 DE NOVIEMBRE DE 2023 
RESOLUCIÓN EX. SII N°127.- 
VISTOS: Lo dispuesto en los artículos 6°, l"
2398,resolucion,23,2016,2016-03-23,SUBDIRECCIÓN DE ASISTENCIA AL,3,9014,pdfs/resolucion/2016/resolucion_2016_0023.pdf,"SUBDIRECCIÓN DE ASISTENCIA AL 
 CONTRIBUYENTE 
 DEPTO DE ATENCIÓN Y 
ASISTENCIA DE CONTRIBUYENTES 
 SDA-726-2015 
 77315841748 
 
EXIME DEL TIMBRAJE DE PAGARÉS A 
CONTRIBUYENTE QUE INDICA. 
 
Santiago, 23 de marzo de 2016.- 
 
Hoy se ha resuelto lo siguiente: 
 
RESOLUCIÓN EX. SII N°__23.-_____/ 
 
"
693,circular,41,2021,2021-07-02,Circular N° 41 del 02 de Julio del 2021,37,163403,pdfs/circular/2021/circular_2021_0041.pdf,"DEPARTAMENTO EMISOR 
Subdirección Jurídica 
Departamento de Asesoría Jurídica 
CIRCULAR N°41.- 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 02 DE JULIO DE 2021 
MATERIA 
Imparte 
instrucciones 
sobre 
modificaciones introducidas por la Ley N° 21.210 
al Código Tributario, en relación con las"
