id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
5665,oficio,2522,2019,2019-10-04,"CODIGO TRIBUTARIO – NUEVO TEXTO – ART. 26 BIS 
",10,26304,pdfs/oficio/otras_normas/2019/oficio_2019_2522.pdf,"CODIGO TRIBUTARIO – NUEVO TEXTO – ART. 26 BIS – (ORD. N° 2522, DE 04.10.2019) 
 
 
Consulta si a la reorganización societaria que describe, le son aplicables las disposiciones 
de los artículos 4 bis, 4 ter y 4 quáter del Código Tributario 
 
Se ha recibido en esta Dirección Nacional su presentación"
4299,oficio,2622,2021,2021-09-29,"Renta – Actual Ley sobre Impuesto a la – Art. 17 N° 8 y art. 107 – Código Tributario, art. 64",2,6748,pdfs/oficio/lir/2021/oficio_2021_2622.pdf,"RENTA – ACTUAL LEY SOBRE IMPUESTO A LA – ART. 17 N° 8 Y ART. 107 – CÓDIGO 
TRIBUTARIO, ART. 64 
 
(ORD. N° 2622 DE 29.09.2021). 
 
Adquisición por fusión de sociedades de acciones con presencia bursátil, en relación al artículo 
107 de la LIR. 
Se ha solicitado a este Servicio un pronunciamiento sob"
718,circular,17,2021,2021-03-11,Circular N° 17 del 11 de Marzo del 2021,4,12126,pdfs/circular/2021/circular_2021_0017.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°17.- 
177531.2021 GE 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 11 DE MARZO DE 2021 
MATERIA: Tablas de Impuesto Único de Segunda 
Categoría para el mes de abril de 2021 e 
información adicional relacion"
1881,resolucion,108,2020,2020-09-08,SUBDIRECCIÓN DE ASISTENCIA AL,2,5719,pdfs/resolucion/2020/resolucion_2020_0108.pdf,"SUBDIRECCIÓN DE ASISTENCIA AL 
CONTRIBUYENTE 
DEPARTAMENTO DE OPERACIONES 
 
 
 
 
MATERIA: DEJA SIN EFECTO LAS INSTRUCCIONES 
RELATIVAS A VALES EN REEMPLAZO DE BOLETAS 
Y VALES ELECTRÓNICOS EN REEMPLAZO DE LA 
BOLETA DE VENTAS Y SERVICIOS EN LA FORMA Y 
CONDICIONES QUE INDICA. 
 
 
 
SANTIAGO, 8 de"
3363,oficio,1422,2023,2023-05-10,"Renta – Ley sobre Impuesto a la – Art. 2 N° 1, Art. 14 letra D), Art. 17 N° 8 letra E), Art. 20 N° 5, Art. 29, Art. 30, Art. 31, Art. 32, Art. 33 ",2,7329,pdfs/oficio/lir/2023/oficio_2023_1422.pdf,"RENTA – LEY SOBRE IMPUESTO A LA – ART. 2 N° 1, ART. 14 LETRA D), ART. 17 N° 8 
LETRA E), ART. 20 N° 5, ART. 29, ART. 30, ART. 31, ART. 32, ART. 33 
(ORD. N° 1422, DE 10.05.2023). 
 
Tributación aplicable a la venta de non fungible tokens. 
De acuerdo con su presentación, una fundación sin fines de l"
