sii_id,codigo,fecha,corte,instancia,resumen
14816,6-2019,2019-08-19,Corte de Apelaciones,Corte de Apelaciones de Valdivia,CONFIRMA SENTENCIA - TTA ACOGE RECLAMO - PRESCRIPCIÓN DE LA ACCIÓN FISCALIZADORA - TASACIÓN DE LA VENTA BIENES AGRÍCOLAS - ART. 5 TRANSITORIO LEY 18.895 -
14817,9-2019,2019-09-04,Corte de Apelaciones,Corte de Apelaciones de Temuco,SE CONFIRMA - TTA RECHAZA RECLAMO- Reavalúo bien raíz no agrícola -
14831,20-2019,2019-05-31,Corte de Apelaciones,Corte de Apelaciones de Valparaíso,SE REVOCA SENTENCIA - TTA RECHAZO INCIDENTE - reclamo extemporáneo
14835,90-2018,2019-04-30,Corte de Apelaciones,Corte de Apelaciones de Concepción,SE CONFIRMA - TTA ACOGIO RECLAMO - Devolución pagos provisionales por utilidades absorbidas - contribuyente fundamento origen de la pérdida -
14841,1-2018,2019-05-06,Corte de Apelaciones,Corte de Apelaciones de La Serena,SE CONFIRMA - TTA RECHAZA RECURSO - impugnación de giro - contribuyente no acredita partidas impugnadas en el giro - ingresos no declarados -
14846,1-2019,2019-08-06,Corte de Apelaciones,Corte de Apelaciones de Temuco,​SE REVOCA - TTA rechazó recurso - Nulidad de notificación – Notificación por carta certificada – Domicilio – Artículo 11 del Código Tributario – Artículo 59 del Código Civil
14961,239-2018,2019-07-10,Corte de Apelaciones,Corte de Apelaciones de Santiago,Prescripción extraordinaria – Artículo 200 Código Tributario – Gasto necesario para producir renta – Artículo 31 Ley sobre Impuesto a la Renta.
15069,8-2019,2019-07-17,Corte de Apelaciones,Corte de Apelaciones de Temuco,Se confirma - sentencia tta rechazo reclamo -
15084,25-2018,2019-06-24,Corte de Apelaciones,Corte de Apelaciones de Santiago,Se rechaza recurso apelación sii - tta acogió excepción de prescripción del cobro -
15448,21-2019,2019-07-09,Corte de Apelaciones,Corte de Apelaciones de Valparaíso,Se confirma sentencia TTA
