id,tipo,numero,anio,fecha,titulo,paginas,chars_texto,pdf_local,inicio
440,circular,43,2017,2017-08-23,Circular N° 43 del 23 de Agosto del 2017,2,5801,pdfs/circular/2017/circular_2017_0043.pdf,"1 
 SUBDIRECCIÓN EMISORA 
SUBDIRECCIÓN DE FISCALIZACIÓN 
 
 
CIRCULAR Nº 43 
 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS 
FECHA: 23 DE AGOSTO 2017 
 
MATERIA: 
 
 
 
 
 
 
 
 
REFERENCIA: 
TABLA DE CÁLCULOS DE REAJUSTES, INTERESES 
 Y MULTAS SEPTIEMBRE 2017 
 
 
Nº Y NOMBRE DEL VOLUMEN 
 
 
 
 
 
 
 "
971,circular,5,2025,2025-01-09,Circular N° 5 del 10 de Enero del 2025,1,2653,pdfs/circular/2025/circular_2025_0005.pdf,"DEPARTAMENTO EMISOR: 
Subdirección Normativa 
Oficina de Gestión Normativa 
CIRCULAR N°05.- 
309893.2025 GE 
SISTEMA DE PUBLICACIONES ADMINISTRATIVAS FECHA: 09 DE ENERO DE 2025 
MATERIA: Operaciones de crédito de dinero. Valor 
de la Unidad de Fomento para los días comprendidos 
entre el 10 de enero"
225,circular,31,2014,2014-05-19,Circular N° 31 del 19 de Mayo del 2014,17,56973,pdfs/circular/2014/circular_2014_0031.pdf,"DEPARTAMENTO EMISOR: 
SUBDIRECCIÓN NORMATIVA, DEPTO. DE 
NORMAS INTERNACIONALES 
CIRCULAR N° 31.- 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 19 de mayo de 2014.- 
MATERIA: 
Regula 
obligación 
de 
inscribirse en el registro del Rol Único 
Tributario y de dar Aviso de Inicio de 
Actividades"
644,circular,22,2020,2020-03-30,Circular N° 22 del 30 de Marzo del 2020,5,19782,pdfs/circular/2020/circular_2020_0022.pdf,"DEPARTAMENTO EMISOR: 
Departamento de Impuestos Directos 
08.2020 SN 
03.2020 ID 
CIRCULAR N° 22 
 
SISTEMA 
DE 
PUBLICACIONES 
ADMINISTRATIVAS 
FECHA: 30 de marzo de 2020 
MATERIA Modificaciones efectuadas por la Ley 
N° 21.210 publicada el 24 de febrero de 2020, a 
la Ley N° 20.544, que regula el "
912,circular,63,2025,2025-11-12,Circular N° 63 del 12 de Noviembre del 2025,3,2930,pdfs/circular/2025/circular_2025_0063.pdf,"DEPARTAMENTO EMISOR: 
Subdirección de Fiscalización 
Departamento de Diseño de Procedimientos 
 
CIRCULAR Nº63.- 
 
GE00351988 
SISTEMA DE PUBLICACIONES 
ADMINISTRATIVAS 
 
FECHA: 12 DE NOVIEMBRE DE 2025 
MATERIA: Informa tabla de cálculos de reajustes y 
multas para el mes de Diciembre 2025. 
REF. "
